,epoch,pm10_wadow,pm10_piastow,pm10_krasinskiego,pm10_swoszowice,pm10_zloty_rog,pm10_kurdwanow,pm10_dietla,pm25_krasinskiego,pm25_kurdwanow
0,1451599200,,,243.643,,213.833,417.618,250.2,200.445,289.665
1,1451602800,,,254.931,,237.703,414.837,283.5,211.441,281.38
2,1451606400,,,303.558,,342.924,,449.5,248.173,
3,1451610000,,,289.828,,329.66,,382.1,240.423,
4,1451613600,,,279.998,,322.539,311.513,327.5,230.277,311.2
5,1451617200,,,289.167,,294.548,322.888,332.7,241.381,316.5
6,1451620800,,,284.534,,285.527,297.152,332.9,238.346,287.8
7,1451624400,,,269.372,,272.708,219.365,309.1,225.759,217.1
8,1451628000,,,290.027,,291.304,260.138,309.4,243.282,247.317
9,1451631600,,,267.287,,240.568,270.548,294.8,224.785,266.6
10,1451635200,,,267.39,,252.42,178.303,288.5,225.283,174.3
11,1451638800,,,268.843,,255.505,203.364,296,226.542,193.452
12,1451642400,,,220.234,,187.489,136.47,220.1,184.685,135.8
13,1451646000,,,173.774,,150.372,75.2523,155.8,143.501,71.757
14,1451649600,,,126.387,,110.253,91.764,107.6,102.488,88.4
15,1451653200,,,135.411,,103.014,127.409,169.6,109.498,121.252
16,1451656800,,,170.97,,243.563,113.24,171.5,139.91,112.8
17,1451660400,,,160.751,,184.791,129.53,157.3,131.913,128.8
18,1451664000,,,161.087,,217.686,134.734,159.8,133.616,129.9
19,1451667600,,,144.031,,145.081,134.059,140.5,119.359,127.617
20,1451671200,,,123.729,,124.12,117.481,118.9,102.323,109.3
21,1451674800,,,90.4527,,75.7743,89.0263,91.8,73.3765,84.772
22,1451678400,,,77.1401,,72.9308,55.0779,82.21,62.5396,52.567
23,1451682000,,,67.0079,,55.567,48.8896,75.26,54.9453,44.6
24,1451685600,,,62.0013,,46.3241,44.6582,56.35,49.4618,36.9
25,1451689200,,,62.0295,,48.8157,36.2915,71.34,49.7087,34.707
26,1451692800,,,61.985,,58.2517,58.8371,68.46,54.3292,46
27,1451696400,,,66.9879,,56.8069,64.9964,66.12,56.5276,57.5
28,1451700000,,,59.0421,,54.6219,54.0465,58.03,52.3341,54
29,1451703600,,,60.7448,,58.4164,53.1308,52.05,54.9967,50.667
30,1451707200,,,47.9716,,56.045,43.5111,44.1,44.2555,41.547
31,1451710800,,,39.9298,,44.7117,36.2915,41.43,36.1239,31.7
32,1451714400,,,36.0882,,41.5141,33.2167,36.64,32.4657,26.7
33,1451718000,,,44.6886,,45.683,35.7517,53.2,38.5454,25
34,1451721600,,,53.281,,44.3974,37.7566,63.41,44.7907,29.7
35,1451725200,,,51.8505,,35.2215,41.1978,46.39,42.5704,39.6
36,1451728800,,,54.873,,44.2823,41.2845,41.08,38.4539,36.4
37,1451732400,,,93.8808,,44.6706,46.8558,59.46,44.4641,34.5
38,1451736000,,,142.682,,43.0838,43.8292,79.46,51.5033,41.832
39,1451739600,,,165.533,,52.3139,42.1423,97.81,58.0086,33.6
40,1451743200,,,154.365,,47.933,43.54,105.9,59.8079,32.5
41,1451746800,,,127.348,,50.1868,38.547,75.384,49.6556,36.797
42,1451750400,,,118.585,,44.5008,38.5759,81.99,49.1302,34.5
43,1451754000,,,109.178,,69.2014,43.646,85.77,50.7518,34.8
44,1451757600,,,89.5464,,55.4542,47.386,68.247,47.0708,35.4
45,1451761200,,,79.1438,,56.1299,40.9664,55.431,41.9709,39.4
46,1451764800,,,71.8685,,47.4977,47.492,66.069,44.449,40.5
47,1451768400,,,69.9067,,45.3833,45.6027,59.751,45.7093,43.542
48,1451772000,,,61.2456,,45.9168,44.475,52.191,40.9767,40.8
